"Console Name","Game Name","Price","Condition","Rating","Region","Included","Quantity","UPC","Sold","Sold-Date"
"Play Station 2","Onimusha 2","7.00","USED","Mature","NTSC","Game / Case / Manual","","","Y",""
"Play Station TV","Silent Hill Shattered Memories","30.00","USED","Mature","NTSC","Game / Case / Manual","","","",""
"Play Station 3","God of War 3","20.00","USED","Mature","NTSC","Game / Case / Manual","","","",""
"Play Station 2","Silent Hill 4","25.00","USED","Mature","NTSC","Game / Case / Manual","","","",""
